# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:31:51 2022
#
# User preference: *
#
# CONSTRAINT:  order by st_ppnum desc, hip_name asc
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
#
star_name,hip_name,hd_name,st_ppnum,st_dist,st_disterr1,st_disterr2,st_spttype,st_lbol,st_lbolerr,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_mbol,st_mbolerr,st_lumclass,st_rad,st_raderr,st_mass,st_masserr,st_logg,st_loggerr
HIP 171,HIP 171,HD 224930,0,12.17,0.38,-0.35,G3V,0.700,0.090,778.600,,-918.700,,109.603956,-34.508667,5.370,0.070,MAINSEQ,0.92,,0.91,,4.27,
HIP 17378,HIP 17378,HD 23249,0,9.04,,,K0IV,3.370,0.060,-91.700,,742.200,,198.089726,-45.996470,3.740,0.020,GIANT,2.27,,1.19,,4.01,
HIP 17440,HIP 17440,HD 23817,0,29.86,0.61,-0.59,K0IV SB,39.120,0.110,308.400,,78.700,,279.236735,-43.536902,1.460,0.040,GIANT,10.22,,2.56,,,
HIP 17651,HIP 17651,HD 23754,0,17.63,,,F3/5V,5.390,0.100,-159.900,,-528.500,,217.349461,-50.323455,2.990,0.020,MAINSEQ,1.76,,1.54,,4.06,
HIP 18907,HIP 18907,HD 25490,0,39.62,1.32,-1.41,A0.5 Va,,,4.500,0.400,-2.300,0.400,184.679669,-33.058553,,,,,,,,,
HIP 19747,HIP 19747,HD 26967,0,35.91,0.65,-0.67,K2 III,,,41.600,0.700,-204.500,0.600,246.879546,-46.414101,,,,,,,,,
HIP 19859,HIP 19859,HD 26923,0,21.33,0.22,-0.21,G0IV...,1.200,0.040,-109.400,,-108.300,,186.677812,-30.500828,4.670,0.030,MAINSEQ,1.01,,1.05,,4.45,
HIP 19893,HIP 19893,HD 27290,0,20.46,0.21,-0.20,F0V,6.900,0.060,100.600,,184.200,,259.835545,-44.785030,2.690,0.030,MAINSEQ,1.75,,1.64,,3.97,
HIP 2021,HIP 2021,HD 2151,0,7.46,,,G1IV,3.700,0.050,2220.100,,324.400,,304.778774,-39.780544,3.460,0.010,MAINSEQ,1.84,,1.14,,3.99,
HIP 2072,HIP 2072,HD 2262,0,23.81,,,A6VN,12.770,0.050,106.100,,32.800,,318.416245,-72.681506,2.050,0.010,MAINSEQ,1.90,,1.92,,3.97,
HIP 2081,HIP 2081,HD 2261,0,25.97,0.53,-0.51,K0IIIB,88.070,0.070,232.800,,-353.600,,320.002763,-73.978986,0.330,0.050,GIANT,15.88,,3.15,,2.53,
HIP 21770,HIP 21770,HD 29875,0,20.17,,,F1V,5.610,0.050,-141.200,,-75.000,,246.155829,-41.495344,2.920,0.010,MAINSEQ,1.61,,1.56,,4.01,
HIP 22263,HIP 22263,HD 30495,0,13.28,,,G3V,1.010,0.100,130.400,,169.200,,215.364171,-34.805588,4.870,0.030,MAINSEQ,1.01,,0.98,,4.43,
HIP 22449,HIP 22449,HD 30652,0,8.07,,,F6V,3.000,0.060,463.400,,11.600,,191.451416,-23.065695,3.630,0.020,MAINSEQ,1.32,,1.24,,4.26,
HIP 23311,HIP 23311,HD 32147,0,8.71,,,K4III,0.300,0.060,550.700,,-1109.300,,205.088124,-27.175624,6.530,0.030,MAINSEQ,0.78,,0.84,,4.61,
HIP 23693,HIP 23693,HD 33262,0,11.65,,,F6/7V,1.540,0.100,-31.900,,117.400,,266.034040,-36.715610,4.380,0.010,MAINSEQ,1.06,,1.12,,4.28,
HIP 23835,HIP 23835,HD 32923,0,15.43,0.16,-0.15,G4V,2.330,0.050,536.000,,18.500,,183.836773,-12.936221,3.970,0.020,MAINSEQ,1.59,,1.02,,4.06,
HIP 23875,HIP 23875,HD 33111,0,27.40,0.28,-0.27,A3IVn,49.810,0.070,-83.400,,-75.400,,205.337734,-25.315234,0.570,0.040,MAINSEQ,3.35,,2.72,,3.29,
HIP 24205,HIP 24205,HD 33636,0,28.37,0.88,-0.83,G1/2V,1.150,0.090,180.800,,-137.300,,196.897583,-19.805377,4.720,0.080,MAINSEQ,1.02,,1.02,,4.44,
HIP 24608,HIP 24608,HD 34029,0,13.12,0.13,-0.13,M1:comp,158.400,0.060,75.500,,-427.100,,162.587548,4.566966,-0.510,0.030,GIANT,14.61,,3.66,,,
HIP 24813,HIP 24813,HD 34411,0,12.63,,,G0V,1.890,0.060,519.400,,-664.800,,167.677974,1.540903,4.180,0.020,MAINSEQ,1.28,,1.08,,4.29,
HIP 25278,HIP 25278,HD 35296,0,14.39,0.15,-0.14,F8VSB,1.800,0.060,250.400,,-7.400,,187.200456,-10.285318,4.210,0.030,MAINSEQ,1.16,,1.16,,4.51,
HIP 26779,HIP 26779,HD 37394,0,12.28,0.12,-0.12,K1V,0.500,0.040,2.700,,-523.600,,158.383390,11.946006,5.750,0.030,MAINSEQ,0.82,,0.91,,4.60,
HIP 27072,HIP 27072,HD 38393,0,8.93,,,F7V,2.510,0.050,-292.400,,-368.400,,226.795163,-24.272038,3.840,0.010,MAINSEQ,1.30,,1.27,,4.31,
HIP 27288,HIP 27288,HD 38678,0,21.61,,,A2VANN,15.400,0.050,-14.800,,-1.200,,219.399362,-20.826394,1.880,0.010,MAINSEQ,1.88,,2.02,,4.03,
HD 38858,HIP 27435,HD 38858,0,15.18,0.15,-0.15,G3V,0.850,0.050,62.400,,-230.700,,209.377558,-15.841660,5.060,0.010,MAINSEQ,0.95,,0.94,,4.47,
HIP 27628,HIP 27628,HD 39425,0,26.73,,,K1.5III,52.650,0.060,55.700,,404.700,,241.342869,-27.057581,0.960,0.020,GIANT,11.69,,2.76,,2.62,
HIP 27654,HIP 27654,HD 39364,0,34.42,0.72,-0.75,G8 III/IV,,,229.200,0.700,-648.000,0.700,225.834453,-22.218385,,,,,,,,,
HIP 27890,HIP 27890,HD 40409,0,26.25,0.54,-0.51,K1III/IV,12.300,0.110,120.100,,573.400,,272.369058,-30.420102,2.550,0.050,GIANT,5.38,,1.90,,2.92,
HIP 27913,HIP 27913,HD 39587,0,8.66,,,G0V,1.170,0.060,-163.200,,-98.900,,188.458079,-2.731939,4.710,0.020,MAINSEQ,1.05,,1.03,,4.44,
HIP 28103,HIP 28103,HD 40136,0,14.88,,,F1V,6.020,0.050,-42.200,,139.000,,219.755696,-18.471388,2.850,0.020,MAINSEQ,1.64,,1.58,,4.01,
HIP 28360,HIP 28360,HD 40183,0,24.87,0.25,-0.25,A2V,110.910,0.050,-56.400,,-0.900,,167.456942,10.409648,-0.080,0.020,MAINSEQ,4.31,,3.34,,3.71,
HIP 29271,HIP 29271,HD 43834,0,10.20,,,G6V,0.910,0.100,121.800,,-212.800,,285.757659,-28.801832,5.040,0.010,MAINSEQ,0.99,,0.94,,4.45,
HIP 2941 A,HIP 2941 A,HD 3443 A,0,15.40,0.48,-0.45,K1V+G,1.320,0.080,1422.100,,-17.100,,68.814929,-86.046587,4.630,0.070,MAINSEQ,1.27,,1.07,,4.28,
HIP 32349,HIP 32349,HD 48915,0,2.63,,,A1.0V,30.480,0.050,-546.000,,-1223.100,,227.228206,-8.887735,1.460,0.010,MAINSEQ,2.00,,2.40,,4.20,
HIP 32362,HIP 32362,HD 48737,0,18.00,,,F5IV,12.770,0.060,-115.200,,-190.900,,200.739117,4.502471,2.050,0.020,MAINSEQ,2.86,,1.92,,3.61,
HIP 32607,HIP 32607,HD 50241,0,29.60,1.56,-1.41,A7IV,36.400,0.140,-68.400,,242.000,,271.919390,-24.099287,0.880,0.130,MAINSEQ,3.54,,2.51,,3.42,
HIP 33202 A,HIP 33202 A,HD 50635,0,25.63,1.07,-0.99,F0Vp,6.950,0.140,70.200,,-77.800,,201.510395,6.665598,2.690,0.100,MAINSEQ,1.76,,1.64,,,
HIP 34065,HIP 34065,HD 53705,0,16.52,0.34,-0.32,G3V,1.450,0.070,-102.700,,388.900,,254.085067,-16.219841,4.470,0.040,MAINSEQ,1.14,,0.98,,4.34,
HIP 3419,HIP 3419,HD 4128,0,29.53,,,K0III,151.950,0.060,232.800,,32.700,,111.326620,-80.681076,-0.330,0.030,GIANT,16.79,,3.63,,,
HIP 34834,HIP 34834,HD 55892,0,21.43,,,F0IV,6.050,0.050,-135.600,,106.800,,257.718752,-16.025090,2.840,0.020,MAINSEQ,1.72,,1.59,,3.78,
HIP 35136,HIP 35136,HD 55575,0,16.89,0.17,-0.17,G0V,1.540,0.060,29.400,,-186.100,,170.342281,23.515060,4.400,0.030,MAINSEQ,1.20,,1.12,,4.23,
HIP 35350,HIP 35350,HD 56537,0,28.91,0.76,-0.80,A2,,,-45.900,0.400,-37.100,0.400,200.916810,13.227538,,,,,,,,,
HIP 35550,HIP 35550,HD 56986,0,18.54,0.19,-0.18,F0IV...,11.380,0.060,-18.700,,-7.800,,195.984952,15.885230,2.160,0.040,MAINSEQ,2.35,,1.87,,3.68,
HIP 36046,HIP 36046,HD 58207,0,38.61,1.31,-1.41,K0,,,-122.200,0.400,-84.200,0.400,190.846345,19.268819,,,,,,,,,
HIP 36366,HIP 36366,HD 58946,0,18.05,,,F0V...,5.840,0.060,159.300,,193.800,,187.134080,21.344345,2.880,0.030,MAINSEQ,1.63,,1.57,,4.06,
HIP 36850 A,HIP 36850 A,HD 60179,0,15.60,1.00,-0.88,A2Vm,53.930,0.170,-206.300,,-148.200,,187.440843,22.479896,0.610,0.130,MAINSEQ,3.06,,2.78,,,
HIP 37279,HIP 37279,HD 61421,0,3.51,,,F5IV-V,7.120,0.040,-716.600,,-1034.600,,213.700769,13.022153,2.680,0.020,MAINSEQ,1.98,,1.49,,4.06,
HIP 3765,HIP 3765,HD 4628,0,7.45,,,K1V,0.300,0.050,758.000,,-1141.200,,121.509873,-57.579891,6.380,0.010,MAINSEQ,0.76,,0.76,,4.59,
HIP 37853,HIP 37853,HD 63077,0,15.21,0.15,-0.15,G0V,1.510,0.060,-220.800,,1722.900,,249.112044,-4.806835,4.450,0.030,MAINSEQ,1.14,,1.11,,4.87,
HIP 3821 A,HIP 3821 A,HD 4614,0,5.94,0.06,-0.06,G3V,1.310,0.060,1087.100,,-559.600,,122.617395,-5.053680,4.580,0.030,MAINSEQ,1.05,,0.99,,4.44,
HIP 38382 A,HIP 38382 A,HD 64096,0,16.50,0.17,-0.16,G2V,2.110,0.060,-68.500,,-344.800,,232.270733,6.621127,4.070,0.030,MAINSEQ,1.42,,1.21,,4.24,
HIP 38908,HIP 38908,HD 65907,0,16.20,,,G0V,1.360,0.060,518.400,,118.900,,273.383990,-15.679345,4.530,0.020,MAINSEQ,1.07,,1.06,,4.43,
HIP 3909,HIP 3909,HD 4813,0,15.75,0.16,-0.16,F7V,1.850,0.100,-224.700,,-228.400,,121.798391,-73.512663,4.180,0.030,MAINSEQ,1.16,,1.17,,4.28,
HIP 39757,HIP 39757,HD 67523,0,19.48,,,F2MF5IIP,24.250,0.060,-83.300,,46.400,,243.148576,4.402081,1.340,0.020,MAINSEQ,3.94,,2.26,,,
HIP 39903,HIP 39903,HD 68456,0,19.98,1.05,-0.95,F5V,4.290,0.170,-155.000,,-297.700,,274.973661,-14.954678,3.240,0.130,MAINSEQ,1.65,,1.45,,3.97,
HIP 40167 A,HIP 40167 A,HD 68257,0,25.08,0.51,-0.49,G0V,4.560,0.060,28.300,,-150.900,,205.301069,25.531005,3.250,0.060,MAINSEQ,2.16,,1.48,,,
HIP 40702,HIP 40702,HD 71243,0,19.56,,,F5V,7.740,0.100,109.800,,106.900,,289.860161,-21.681552,2.590,0.020,MAINSEQ,2.11,,1.69,,3.96,
HIP 40706,HIP 40706,HD 70060,0,28.63,0.29,-0.28,A4(M)A5-A7,11.380,0.050,-111.300,,100.600,,254.776736,-0.420933,2.160,0.010,MAINSEQ,1.85,,1.87,,4.11,
HIP 41312,HIP 41312,HD 71878,0,33.10,0.49,-0.50,K1 III,,,-35.200,0.800,-152.300,0.800,280.261523,-15.843041,,,,,,,,,
HIP 4151,HIP 4151,HD 5015,0,18.74,0.19,-0.19,F8V,3.660,0.050,-68.500,,169.700,,123.129212,-1.747476,3.440,0.020,MAINSEQ,1.66,,1.39,,,
HIP 42438,HIP 42438,HD 72905,0,14.36,0.15,-0.14,G1.5Vb,1.030,0.050,-27.700,,87.900,,150.551984,35.704385,4.840,0.010,MAINSEQ,0.96,,1.01,,,
HIP 42913 A,HIP 42913 A,HD 74956,0,24.70,0.25,-0.24,A0V,96.770,0.110,28.800,,-104.100,,272.078586,-7.370704,-0.040,0.040,MAINSEQ,4.02,,3.23,,3.79,
HIP 44127,HIP 44127,HD 76644,0,14.51,,,A7IV,10.180,0.060,-441.100,,-215.200,,171.511670,40.837263,2.290,0.020,MAINSEQ,1.76,,1.81,,3.91,
HIP 44248 A,HIP 44248 A,HD 76943,0,16.07,0.16,-0.16,F5V,5.610,0.070,-487.700,,-219.300,,179.803356,41.182968,2.940,0.040,MAINSEQ,1.85,,1.56,,3.98,
HIP 44901,HIP 44901,HD 78209,0,28.82,0.29,-0.29,Am,11.380,0.100,-137.800,,-32.500,,166.569968,42.015926,2.140,0.030,MAINSEQ,2.15,,1.87,,,
HIP 45038 A,HIP 45038 A,HD 78154,0,20.38,0.21,-0.20,F7IV-V,4.330,0.050,12.900,,-90.800,,146.875845,38.113071,3.250,0.020,MAINSEQ,1.81,,1.46,,,
HIP 45170,HIP 45170,HD 79096,0,20.36,0.21,-0.20,G9V,1.030,0.050,-524.500,,245.100,,214.652838,37.858558,4.940,0.040,MAINSEQ,1.22,,1.01,,4.29,
HIP 45238,HIP 45238,HD 80007,0,34.08,0.54,-0.56,A1 III,,,-157.660,0.560,108.910,0.420,285.978467,-14.407199,,,,,,,,,
HIP 46509,HIP 46509,HD 81997 A,0,17.33,0.72,-0.67,F5V,3.720,0.110,100.900,,-3.100,,236.230601,32.856965,3.400,0.090,MAINSEQ,1.52,,1.40,,,
HIP 46651 A,HIP 46651 A,HD 82434,0,18.81,0.19,-0.19,F2IV,10.650,0.060,-147.100,,48.600,,266.776853,7.910051,2.230,0.030,MAINSEQ,2.32,,1.83,,3.77,
HIP 46733,HIP 46733,HD 81937,0,23.82,,,F0IV,16.460,0.060,107.500,,26.900,,150.639981,41.743230,1.750,0.020,MAINSEQ,2.86,,2.05,,,
HIP 46853,HIP 46853,HD 82328,0,13.48,,,F6IV,8.450,0.060,-947.100,,-535.600,,165.459793,45.651883,2.510,0.020,MAINSEQ,2.41,,1.73,,3.80,
HIP 47080,HIP 47080,HD 82885,0,11.37,,,G8IV-V,0.850,0.060,-730.000,,-260.600,,188.495207,47.803830,5.110,0.020,MAINSEQ,1.06,,0.96,,4.40,
HIP 47592,HIP 47592,HD 84117,0,15.01,,,G0V,2.110,0.100,-399.200,,263.200,,256.699052,21.524241,4.040,0.020,MAINSEQ,1.25,,1.12,,4.32,
HIP 48319,HIP 48319,HD 84999,0,35.27,0.81,-0.85,F0,,,-294.450,0.490,-151.750,0.380,154.310681,45.572523,,,,,,,,,
HIP 49081,HIP 49081,HD 86728,0,15.05,,,G1V,1.470,0.100,-529.200,,-428.900,,195.014020,52.854735,4.490,0.030,MAINSEQ,1.06,,0.96,,4.40,
HIP 49593,HIP 49593,HD 87696,0,28.24,0.29,-0.28,A7V,10.680,0.050,51.000,,0.600,,189.471778,54.259966,2.240,0.020,MAINSEQ,1.77,,1.84,,4.07,
HIP 49669,HIP 49669,HD 87901,0,24.31,0.25,-0.24,B7V,215.450,0.030,-249.400,,4.900,,226.427865,48.934782,-0.520,0.030,MAINSEQ,3.42,,3.97,,3.56,
HIP 49908,HIP 49908,HD 88230,0,4.87,,,K7.0V,0.110,0.060,-1361.500,,-505.000,,165.862334,52.148327,8.160,0.030,MAINSEQ,0.64,,0.56,,,
HIP 50191,HIP 50191,HD 88955,0,31.53,0.54,-0.56,A1 V,,,-150.600,0.800,50.900,0.800,274.324760,11.882386,,,,,,,,,
HIP 50564,HIP 50564,HD 89449,0,21.37,0.22,-0.21,F6IV,4.750,0.100,-230.000,,-214.700,,217.121862,54.477139,3.130,0.030,MAINSEQ,1.73,,1.49,,4.08,
HIP 50954,HIP 50954,HD 90589,0,16.22,,,F2/3IV/V,5.620,0.060,-16.100,,-27.600,,293.161674,-14.018345,2.930,0.020,MAINSEQ,1.67,,1.56,,4.24,
HIP 51459,HIP 51459,HD 90839,0,12.78,,,F8V,1.680,0.060,-177.000,,-33.500,,154.291362,51.702948,4.290,0.020,MAINSEQ,1.15,,1.12,,4.39,
HIP 51986 A,HIP 51986 A,HD 92139,0,26.84,0.27,-0.27,A3MF0-F2,17.250,0.060,-131.500,,-1.600,,281.063496,8.868557,1.690,0.040,MAINSEQ,2.61,,2.08,,4.05,
HIP 52727 A,HIP 52727 A,HD 93497,0,35.49,0.61,-0.63,G5 IIIA,,,74.200,2.400,-54.900,2.100,283.026848,8.572455,,,,,,,,,
HIP 53229,HIP 53229,HD 94264,0,29.09,0.29,-0.29,K0III-IV,30.730,0.060,92.500,,-286.100,,190.009008,63.733562,1.470,0.030,GIANT,7.90,,2.41,,,
HIP 53253,HIP 53253,HD 94510,0,29.13,,,K1III,28.480,0.050,79.800,,38.600,,288.181876,0.599037,1.460,0.010,GIANT,7.07,,2.36,,,
HIP 5336,HIP 5336,HD 6582,0,7.55,0.08,-0.07,G5Vp,0.460,0.100,3421.400,,-1599.300,,125.363722,-7.868205,5.780,0.020,MAINSEQ,0.74,,0.82,,4.49,
HIP 53910,HIP 53910,HD 95418,0,24.45,,,A1V,74.990,0.050,81.700,,33.700,,149.166483,54.804087,0.400,0.010,MAINSEQ,3.30,,3.03,,3.70,
HIP 54182,HIP 54182,HD 96097,0,28.99,0.29,-0.29,F2III-IVvar,9.890,0.040,-344.400,,-47.400,,246.138624,57.937238,2.310,0.030,MAINSEQ,2.13,,1.80,,,
HIP 544,HIP 544,HD 166,0,13.67,0.14,-0.14,K0V,0.680,0.110,379.900,,-178.300,,111.262617,-32.831930,5.380,0.030,MAINSEQ,0.88,,0.98,,4.57,
HIP 54872,HIP 54872,HD 97603,0,17.91,,,A4V,25.780,0.050,143.300,,-130.400,,224.227564,66.827334,1.290,0.020,MAINSEQ,2.62,,2.30,,3.72,
HIP 55642 A,HIP 55642 A,HD 99028,0,23.67,0.48,-0.46,F2IVSB,12.080,0.110,140.800,,-77.800,,247.599108,63.547939,2.130,0.050,MAINSEQ,2.66,,1.89,,3.70,
HIP 55705,HIP 55705,HD 99211,0,25.24,0.25,-0.25,A9V,12.300,0.100,-97.000,,3.200,,275.406736,40.516292,2.060,0.030,MAINSEQ,1.92,,1.90,,3.86,
HIP 56452,HIP 56452,HD 100623,0,9.56,,,K0V,0.620,0.060,-671.000,,823.800,,284.779824,27.312023,6.060,0.030,MAINSEQ,0.76,,0.81,,4.60,
HIP 56997,HIP 56997,HD 101501,0,9.61,,,G8Vvar,0.650,0.060,-13.900,,-380.500,,183.546623,73.324378,5.390,0.020,MAINSEQ,0.90,,0.85,,4.48,
HIP 57632,HIP 57632,HD 102647,0,11.00,0.11,-0.11,A3Vvar,14.580,0.020,-499.000,,-113.800,,250.642324,70.800822,1.930,0.010,MAINSEQ,1.81,,1.99,,4.22,
HIP 57757,HIP 57757,HD 102870,0,10.93,,,F9V,3.790,0.050,741.000,,-271.200,,270.520418,60.755627,3.400,0.020,MAINSEQ,1.70,,1.35,,4.14,
HIP 58001,HIP 58001,HD 103287,0,25.50,0.26,-0.25,A0VSB,74.950,0.070,107.800,,11.200,,140.840445,61.384872,0.360,0.040,MAINSEQ,3.35,,3.02,,3.64,
HIP 58576,HIP 58576,HD 104304,0,12.76,,,G8IV,0.930,0.060,142.000,,-483.300,,283.116623,50.466107,5.000,0.030,MAINSEQ,1.01,,0.98,,4.43,
HIP 5862,HIP 5862,HD 7570,0,15.11,,,G0V,2.070,0.060,664.500,,178.100,,290.078714,-70.999041,4.060,0.020,MAINSEQ,1.25,,1.17,,4.35,
HIP 59072,HIP 59072,HD 105211,0,19.76,,,F0IV,7.120,0.060,34.300,,-37.500,,298.177564,-2.153905,2.660,0.020,MAINSEQ,1.84,,1.65,,4.01,
HIP 59199,HIP 59199,HD 105452,0,14.94,,,F0IV/V,4.560,0.050,100.200,,-39.300,,290.658178,37.115451,3.150,0.020,MAINSEQ,1.42,,1.48,,4.23,
HIP 59774,HIP 59774,HD 106591,0,24.69,,,A3Vvar,26.090,0.060,103.600,,7.800,,132.567116,59.416957,1.320,0.020,MAINSEQ,2.29,,2.31,,3.70,
HIP 60729,HIP 60729,HD 108309,0,26.61,0.27,-0.26,G3/5V,2.020,0.030,-642.000,,-79.200,,298.770649,13.759741,4.120,0.030,MAINSEQ,1.39,,1.05,,4.21,
HIP 60965,HIP 60965,HD 108767,0,26.63,,,B9.5V,57.790,0.060,-210.000,,-139.300,,295.472836,46.044017,0.800,0.030,MAINSEQ,2.43,,2.83,,3.97,
HIP 61084,HIP 61084,HD 108903,0,27.15,,,M4III,878.370,0.090,27.900,,-264.300,,300.169096,5.650464,-0.520,0.020,GIANT,86.14,,5.69,,,
HIP 61174,HIP 61174,HD 109085,0,18.28,,,F2V,5.240,0.050,-424.400,,-58.400,,296.180665,46.421918,2.990,0.020,MAINSEQ,1.66,,1.53,,4.06,
HIP 61317,HIP 61317,HD 109358,0,8.44,,,G0V,1.270,0.060,-705.100,,292.900,,136.127510,75.315243,4.610,0.020,MAINSEQ,1.05,,1.03,,4.42,
HIP 61941 A,HIP 61941 A,HD 110379,0,11.68,0.12,-0.12,F1V,5.280,0.060,-616.700,,60.700,,297.837421,61.325536,3.100,0.030,MAINSEQ,2.38,,1.53,,,
HIP 62145,HIP 62145,HD 110833,0,14.88,0.15,-0.15,K3V,0.380,0.050,-378.800,,-183.900,,125.597962,65.331355,6.150,0.040,MAINSEQ,0.83,,0.78,,,
HIP 62956,HIP 62956,HD 112185,0,25.31,0.26,-0.25,A0p,134.690,0.050,111.700,,-9.000,,122.180593,61.164719,-0.260,0.010,MAINSEQ,4.75,,3.52,,3.23,
HIP 63125,HIP 63125,HD 112413,0,33.78,1.15,-1.23,A0 II-IIIp SiEuCr,,,-233.430,1.010,54.980,0.780,118.305019,78.768675,,,,,,,,,
HIP 63608,HIP 63608,HD 113226,0,31.35,0.83,-0.88,G8 III,,,-274.100,0.300,19.300,0.300,312.324967,73.634720,,,,,,,,,
HIP 63613,HIP 63613,HD 112985,0,27.87,0.28,-0.28,K2III,47.110,0.110,263.600,,-23.300,,303.798162,-8.695197,1.380,0.040,GIANT,11.86,,2.69,,,
HIP 64241,HIP 64241,HD 114378,0,17.83,0.36,-0.35,F5V,5.060,0.060,-445.900,,129.700,,327.937853,79.488625,3.060,0.040,,1.83,,1.52,,4.13,
HIP 64394,HIP 64394,HD 114710,0,9.13,,,G0V,1.480,0.060,-801.900,,882.700,,43.472455,85.405685,4.430,0.020,MAINSEQ,1.09,,1.15,,4.45,
HIP 64583,HIP 64583,HD 114837,0,18.20,0.18,-0.18,F5V,3.130,0.060,-249.600,,-154.600,,305.863690,3.639004,3.610,0.030,MAINSEQ,1.44,,1.34,,4.13,
HIP 65109,HIP 65109,HD 115892,0,18.02,,,A2V,26.990,0.060,-340.800,,-88.000,,309.419584,25.792067,1.440,0.020,MAINSEQ,1.66,,2.33,,4.06,
HIP 65352,HIP 65352,HD 116442,0,15.45,0.32,-0.30,G8/K0V,0.360,0.060,13.400,,198.600,,321.833512,64.405891,6.120,0.060,MAINSEQ,0.77,,0.78,,4.56,
HIP 6537,HIP 6537,HD 8512,0,35.11,0.92,-0.98,K0 III,,,-78.380,0.740,-206.880,0.480,146.593359,-69.544128,,,,,,,,,
HIP 65378 A,HIP 65378 A,HD 116656,0,26.31,1.10,-1.01,A2V,83.790,0.120,121.200,,-22.000,,113.111098,61.579174,0.120,0.100,MAINSEQ,3.50,,3.11,,3.88,
HIP 65477,HIP 65477,HD 116842,0,25.06,,,A5VSB,13.470,0.060,120.300,,-16.900,,112.769444,61.468712,1.990,0.020,MAINSEQ,1.93,,1.95,,3.88,
HIP 65530,HIP 65530,HD 117043,0,21.17,0.21,-0.21,G6V,1.060,0.020,-392.600,,220.500,,116.416727,53.428141,4.870,0.020,MAINSEQ,1.11,,1.02,,,
HIP 66249,HIP 66249,HD 118098,0,22.71,,,A0/1IV,19.740,0.050,-278.900,,48.600,,325.247107,60.388047,1.600,0.010,MAINSEQ,1.98,,2.15,,3.77,
HIP 6686,HIP 6686,HD 8538,0,30.48,0.56,-0.59,A5 IV,,,297.240,0.480,-49.490,0.410,127.190091,-2.351844,,,,,,,,,
HIP 67153,HIP 67153,HD 119756,0,19.40,,,F3V,6.360,0.060,-461.900,,-146.200,,315.853946,28.463388,2.790,0.020,MAINSEQ,1.83,,1.61,,3.98,
HIP 67301,HIP 67301,HD 120315,0,30.87,0.69,-0.72,B3+ V,,,-121.230,0.500,-15.560,0.570,100.695520,65.322531,,,,,,,,,
HIP 677,HIP 677,HD 358,0,29.74,0.30,-0.29,B9p,251.040,0.060,135.700,,-162.900,,111.731918,-32.842851,-0.310,0.030,MAINSEQ,3.07,,4.12,,3.91,
HIP 67927,HIP 67927,HD 121370,0,11.40,0.12,-0.11,G0IV,9.600,0.060,-61.000,,-358.100,,5.291092,73.030684,2.400,0.030,MAINSEQ,2.76,,1.79,,,
HIP 68895,HIP 68895,HD 123123,0,31.08,0.73,-0.76,K2 IIIb,,,43.000,0.400,-140.900,0.500,323.000877,33.252435,,,,,,,,,
HIP 68933,HIP 68933,HD 123139,0,18.03,,,K0IIIB,58.340,0.050,-519.300,,-517.900,,319.455281,24.076882,0.780,0.020,GIANT,10.93,,2.84,,,
HIP 69673 A,HIP 69673 A,HD 124897,0,11.26,0.11,-0.11,K2IIIp,235.320,0.100,-1093.500,,-1999.400,,15.065432,69.111079,-0.310,0.020,GIANT,27.16,,4.06,,1.94,
HIP 69701,HIP 69701,HD 124850,0,22.24,,,F6III,10.090,0.100,-25.800,,-419.800,,337.741386,51.065449,2.330,0.030,MAINSEQ,2.72,,1.81,,,
HIP 69732,HIP 69732,HD 125162,0,29.78,0.53,-0.55,A3 Va {lambda} Boo...,,,-186.700,0.800,159.100,0.800,86.980310,64.666250,,,,,,,,,
HIP 70497,HIP 70497,HD 126660,0,14.53,,,F7V,4.420,0.100,-236.100,,-399.100,,93.832588,59.651587,3.230,0.020,MAINSEQ,1.83,,1.46,,,
