# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov  4 01:22:58 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_facility:  Discovery Facility
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_facility,sy_gaiamag
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-12 b,Kepler-12,1,1,0,Transit,Kepler,13.3596000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 b,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-120 c,Kepler-120,1,2,0,Transit,Kepler,14.7188000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1200 b,Kepler-1200,1,1,0,Transit,Kepler,15.7889000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1201 b,Kepler-1201,1,1,0,Transit,Kepler,14.7003000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1202 b,Kepler-1202,1,1,0,Transit,Kepler,15.6084000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1203 b,Kepler-1203,1,1,0,Transit,Kepler,14.9147000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1204 b,Kepler-1204,1,1,0,Transit,Kepler,15.2950000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1205 b,Kepler-1205,1,1,0,Transit,Kepler,15.1303000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1206 b,Kepler-1206,1,1,0,Transit,Kepler,15.9286000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1207 b,Kepler-1207,1,1,0,Transit,Kepler,14.4485000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1208 b,Kepler-1208,1,1,0,Transit,Kepler,15.9464000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-1209 b,Kepler-1209,1,1,0,Transit,Kepler,12.4115000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 b,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-121 c,Kepler-121,1,2,0,Transit,Kepler,14.6770000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1210 b,Kepler-1210,1,1,0,Transit,Kepler,15.5660000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1211 b,Kepler-1211,1,1,0,Transit,Kepler,15.8278000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1212 b,Kepler-1212,1,1,0,Transit,Kepler,15.0235000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1213 b,Kepler-1213,1,1,0,Transit,Kepler,13.3420000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1214 b,Kepler-1214,1,1,0,Transit,Kepler,15.2226000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1215 b,Kepler-1215,1,1,0,Transit,Kepler,14.4254000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1216 b,Kepler-1216,1,1,0,Transit,Kepler,15.1070000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1217 b,Kepler-1217,1,1,0,Transit,Kepler,15.2415000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1218 b,Kepler-1218,1,1,0,Transit,Kepler,13.5511000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-1219 b,Kepler-1219,1,1,0,Transit,Kepler,12.2321000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 b,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 c,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 d,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 e,Kepler-122,1,5,0,Transit,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-122 f,Kepler-122,1,5,0,Transit Timing Variations,Kepler,14.2223000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1220 b,Kepler-1220,1,1,0,Transit,Kepler,14.9649000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1221 b,Kepler-1221,1,1,0,Transit,Kepler,15.5804000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1222 b,Kepler-1222,1,1,0,Transit,Kepler,14.0908000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1223 b,Kepler-1223,1,1,0,Transit,Kepler,14.6119000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1224 b,Kepler-1224,1,1,0,Transit,Kepler,12.8250000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1225 b,Kepler-1225,1,1,0,Transit,Kepler,14.6320000
Kepler-1226 b,Kepler-1226,1,1,0,Transit,Kepler,14.1497000
Kepler-1226 b,Kepler-1226,1,1,0,Transit,Kepler,14.1497000
